;ID;ocupacao;estadoCivil;educacao;creditoImob;emprestimo
48;e82ac13b-e7ea-4506-9ae6-3428c2e58125;administrador;single;medio;0;0
49;0f5be317-24df-4bf3-b42d-a543d1ec19e3;empreendedor;married;medio;1;0
50;6bb23b4a-ee62-4fc2-a98a-b83a7fe430d7;aposentado;married;graduacao;1;0
51;b2498a87-c875-4f29-aab9-9796a13ac609;Autonomo;married;fundamental;1;1
52;d652d213-4c7e-48fb-be14-18b0e07c14b0;operario;married;desconhecido;unknown;unknown
53;077a6dae-7735-4ab8-b9c5-2d8622b6c6a7;operario;married;fundamental;0;0
54;3bbb71de-d786-42a6-8fe3-084699c12df2;empreendedor;married;profissionalizante;1;0
55;0f32b236-73bc-4c20-a4a4-05ff8fd10d3d;tecnico;single;profissionalizante;1;1
56;9e91e26e-0410-4919-8ac0-3736ddef79aa;tecnico;single;graduacao;0;0
57;9785ebf7-d6b3-42b9-987f-96fd91a0635c;servicos;divorced;medio;0;0
58;8efe1da9-0ca6-48e5-b391-8a2a19b4feb2;operario;single;fundamental;1;0
59;02b44540-a06a-43ab-b736-f8e6536ffc0d;operario;married;primario incompleto;1;0
60;f841725e-e4ba-401c-a382-bf9726eefede;administrador;married;graduacao;0;0
61;da77e112-012a-4dd6-8712-4bfe15c972f8;tecnico;divorced;profissionalizante;1;0
62;863b660d-50f8-4390-b38d-8d537ae307d8;operario;married;fundamental;1;0
63;46a73670-e613-49b8-812b-6ecf4d3b7159;desempregado;married;graduacao;0;0
64;4524abc5-9de8-47a9-9b27-b69149b45f5e;administrador;single;graduacao;0;0
65;b1a222d0-5dee-419d-ba46-a9b357a5939a;tecnico;single;profissionalizante;1;0
66;f86f266e-932d-40ab-b5d1-6969ed49cd39;administrador;married;graduacao;0;0
67;10b27af4-1f30-4fe6-8539-43abeab814ba;administrador;married;graduacao;1;0
68;0fe5ea55-04e6-484e-9136-cc0f4416e31c;Autonomo;married;profissionalizante;0;0
69;b7b62f52-941c-4ffc-acd4-f63969ea681a;administrador;single;medio;0;0
70;47aeb4ac-411d-4d59-8196-6a82800c6f9b;administrador;single;graduacao;unknown;unknown
71;3fc76651-143b-4969-bc0f-124ef89871a2;servicos;married;primario incompleto;0;0
72;1aa55d84-3319-421e-91fc-657ecc00fc18;operario;single;fundamental;0;0
73;0a358051-8a69-43c6-aca0-f6f1102b674c;operario;married;fundamental;1;0
74;1095566f-d1b7-42e0-9e14-5f9879437657;empreendedor;married;medio;0;1
75;2a7b7642-70f5-4c8a-8be2-95a53245f0d3;gestão de empresa;married;medio;1;0
76;d8438c79-145b-4841-a2a0-373bbff71b35;operario;married;fundamental;0;0
77;308b7c0c-4503-495f-b7ef-f7b336530637;administrador;single;medio;0;0
78;0ede91e8-e18a-47d3-8e7e-72a73b6b1108;administrador;married;medio;0;0
79;b41123bc-b95a-4b76-af72-a88325d9d534;tecnico;single;medio;1;1
80;f22c7b6c-c202-4fc7-bd75-728b0a8ef09b;administrador;single;medio;0;0
81;7dcedd1d-ae82-4583-88e7-67dd5175d9af;operario;divorced;desconhecido;1;0
82;bc2e655d-9c50-49d6-b593-605c1a32bb2d;operario;single;fundamental;0;0
83;a727292c-92d7-47db-8d66-09d12627a242;servicos;single;fundamental;0;0
84;1a02a47e-f719-457a-991d-f45743e136e7;empreendedor;married;graduacao;0;0
85;d5037f5a-4cd4-4808-b741-d5cf54dc59b8;empregada;married;primario incompleto;0;0
86;b193b75a-7c1d-428c-bcad-cbc7c2977a13;administrador;single;medio;0;0
87;fc3e0b17-8c26-4854-91e5-b4d2c7b33638;gestão de empresa;married;graduacao;0;0
88;897e31a4-c7af-405a-a37d-8c12f3bcd4bb;Autonomo;married;primario incompleto;unknown;unknown
89;a26e7701-2a9b-4ed3-bc4e-88f393e68190;gestão de empresa;married;graduacao;1;0
90;fb458b04-984f-437b-9150-acde7f6e692f;gestão de empresa;divorced;graduacao;0;0
91;b1f51dd8-52d5-4f5f-bafa-2a018a4ede52;gestão de empresa;married;medio;0;1
92;4d15d6b8-a1d1-4274-8211-48445f2546ab;desempregado;married;profissionalizante;0;0
93;ac22d989-1769-42d3-90e9-7f22d32875c6;operario;married;fundamental;0;0
94;69716caa-2e58-4f32-88c1-ef2f014be9ea;administrador;single;graduacao;0;0
95;b5b1838a-8f80-4301-9288-a5fb84d86ab5;operario;divorced;fundamental;0;0
96;1925bd3e-94e1-4f5c-8049-a4b7f4ba326d;administrador;single;medio;1;0
97;ea2ba876-7ba0-472a-a71a-d32d2f57c118;servicos;married;fundamental;0;0
98;003e57a6-96a3-49a7-9610-2beefc26a9eb;tecnico;married;graduacao;1;1
99;4e5c76c5-9923-4afb-b0e8-857044d08f5c;administrador;married;medio;0;0
100;0c219c9d-816e-48fd-ab55-c94d04dcd97a;administrador;single;medio;1;0
101;327934d5-1bdc-4a37-b549-446fe597e142;empreendedor;divorced;graduacao;0;0
102;dd6d36ce-7543-4ccd-b70a-f9e3460ad114;Desconhecido;married;desconhecido;1;0
103;806add31-63c7-40ad-993f-9bb21b7a3e20;tecnico;divorced;profissionalizante;1;0
104;23857807-2305-4480-b5ca-bc223c6dcd71;tecnico;single;graduacao;1;0
105;fca21662-37b3-47e0-99ba-5306ca4d9756;tecnico;married;profissionalizante;1;0
106;f588fe5b-6513-4ac0-b256-2329c70b2970;administrador;single;graduacao;1;0
107;21eeaa8d-9f82-44be-a86f-9907052fc9df;tecnico;single;profissionalizante;1;0
108;9e5716fb-031e-41be-97f8-61a1926b83b4;administrador;married;graduacao;1;0
109;6835f38d-65c3-4549-8703-da5a7ee74314;Autonomo;married;primario incompleto;1;0
110;03b689d6-b9fa-4fdd-9c22-0acdbd7f2814;gestão de empresa;married;graduacao;1;0
111;314cfca7-6198-4598-b9fb-77955ae80ae1;operario;divorced;fundamental;1;0
112;7db01f60-7e96-4618-807c-f88d187c0379;administrador;married;medio;0;1
113;d482d352-ab94-444b-b9bf-02ad73c7df4b;servicos;divorced;desconhecido;1;1
114;0ba42fbc-fa49-4e1a-9b08-3ce8a190a0fa;operario;single;primario incompleto;1;0
115;3355e36a-f7c0-4dd8-87dd-5c5375ddd224;aposentado;married;profissionalizante;1;0
116;ddce12a5-1e7f-4cc4-88e0-f9580de63da2;operario;single;primario;1;0
117;ed52b179-3774-484b-aa5a-c7f071171b42;operario;married;fundamental;0;0
118;0ab48f11-4413-4c54-ae10-7c65be26f0b4;tecnico;divorced;profissionalizante;1;0
119;0efbd0ea-0fc6-47c4-82e4-e4aea35ddc91;operario;single;medio;0;0
120;1dbe4f14-25b6-4e00-b272-37847c08bb26;Autonomo;married;primario incompleto;0;0
121;8f82ef88-06e8-499c-9bb8-d0e6b6b7c5f3;operario;married;desconhecido;1;0
122;fe4e06c8-4a6a-44e8-b208-889151652c78;administrador;divorced;graduacao;unknown;unknown
123;065df672-0f66-430e-a79b-6cf5d2e9481c;empreendedor;married;graduacao;0;0
124;71dbcf43-7cb4-4e73-b0f8-80551ae07322;servicos;married;medio;1;0
125;2e142f21-f10b-4cab-9446-5985b6c8248d;gestão de empresa;single;graduacao;0;0
126;d1c36b80-64bd-432e-97cb-8060b90ba2d0;administrador;married;graduacao;0;0
127;0cd73822-8695-4b17-9be9-48674f3679f7;administrador;married;medio;1;1
128;cfeecd63-d4a4-4cea-996d-f294f9a8eb17;desempregado;single;fundamental;0;0
129;22a388c5-ea81-4be5-b8aa-fb4449426f88;servicos;married;medio;1;1
130;3e8866bb-f23e-4120-ba97-7b5e543c08a4;empreendedor;married;medio;1;1
131;24fa923e-7d41-45fd-8eb9-881a881695f9;servicos;married;medio;1;0
132;bf6c1694-a112-477a-90eb-4e3f86e8d5d5;tecnico;single;graduacao;1;0
133;801e6ba3-0d02-4946-bfaa-43674ced1d06;empregada;married;primario incompleto;0;0
134;90fb02a8-55bc-4179-9f25-9e687a88b057;administrador;single;medio;1;0
135;83a4652b-02b0-4176-9f0e-d6c3f9fe86f0;administrador;married;medio;0;0
136;26e201f1-0a0e-4cb0-ae89-d4c67dec6ecf;administrador;married;graduacao;1;0
137;47ecbdfd-a354-44e8-9a13-788db7fcf386;operario;married;fundamental;1;0
138;f5e62c5e-ccd6-442f-a08d-1e9e6fd3c8ef;tecnico;single;medio;0;0
139;f0066c5f-4335-4904-9176-aaa63a0ad914;desempregado;married;fundamental;0;0
140;23a37967-6d34-4478-9329-edff7290cff5;tecnico;married;desconhecido;1;0
141;6c4dda76-650c-4bd1-b960-603e9d4202c5;tecnico;married;profissionalizante;1;1
142;de318369-54eb-40d4-a96f-cd7357398bae;administrador;married;graduacao;0;0
143;7898f3d0-59b4-4cca-ba35-ebdac25cb945;operario;divorced;primario incompleto;1;0
144;92094b0e-d326-4209-8685-de2baf3430ca;operario;married;fundamental;0;0
145;f826de56-c89b-4280-b45d-c2fb19db6eed;servicos;married;medio;0;0
146;c198f938-8623-4881-8261-117530c6d51c;administrador;married;graduacao;1;0
147;0c3c0b28-bd73-4b1f-8603-7e7ff22d37b5;servicos;single;primario;1;0
148;2d4c41c6-4ac5-4aaa-8587-e2cbe0c9dc55;empregada;married;medio;1;0
149;95c6d77a-4084-4e6f-b226-de2cc103024e;tecnico;divorced;medio;0;0
150;ff8539e8-5489-48cb-8102-7db1d0daed8d;operario;divorced;medio;0;0
151;bb954f32-d1fd-4722-b347-5219f6a08c8d;aposentado;single;graduacao;1;0
152;a6865ad4-7fd5-4408-a95e-2eee37e2ae13;gestão de empresa;single;graduacao;0;0
153;11b6458d-06fd-4555-af48-1294e86ba8e8;aposentado;married;graduacao;1;1
154;ff074e4a-3b8a-471b-897a-3ae10fc9bf31;aposentado;married;graduacao;0;1
155;88e28c59-03cb-4a01-b15c-b0df90f9d1e7;gestão de empresa;married;graduacao;0;0
156;86ee922a-9204-46fa-8289-5f5af5edb4f8;administrador;single;medio;1;0
157;18579631-a75c-449c-96e5-6127711aae5e;operario;divorced;fundamental;0;1
158;3c2ad82a-ab2b-45c9-a36a-ede1977ce51e;administrador;single;graduacao;0;0
159;ee167069-d697-4777-b448-119be6784c6e;servicos;married;medio;0;0
160;52a6bdc2-12d6-43c2-8e93-eee569a50ee7;operario;married;primario incompleto;1;0
161;184f1993-b359-45dd-be03-802974d2695b;aposentado;married;fundamental;0;0
162;b54c2ac4-8520-411f-8018-f29b6a0372ec;operario;married;desconhecido;0;0
163;acf2885d-e065-49f5-ad32-89d09035483b;servicos;married;medio;0;0
164;f5f16926-80ce-4c76-8e0c-b3d1780fd7cb;operario;single;medio;0;0
165;b0e17798-83ac-4416-91e6-4734f2afff08;gestão de empresa;married;graduacao;0;1
166;8de8c48f-0b5c-4c00-9a2c-3d6bfcf3941c;administrador;married;graduacao;1;0
167;2a569b4d-620e-47b1-978e-ef630a8c6dd1;administrador;single;medio;1;0
168;dfbb1828-aec8-4998-a172-ef3c583d8236;tecnico;married;graduacao;0;0
169;bba3710c-cb12-4d86-b1f1-f15a312a9368;operario;married;primario incompleto;1;0
170;4c0468c3-6ba9-4e82-b992-b739e533bcc6;administrador;single;graduacao;1;0
171;957e0bbc-f24f-40b1-a7be-fd3ac5e59af2;operario;married;medio;0;0
172;04e3f620-a23e-4c3b-941a-77dafcb71454;tecnico;married;primario;1;0
173;8d564230-a90e-4d9a-ac0c-790957a8cb63;empreendedor;married;profissionalizante;0;0
174;c66a3f98-06e0-4b83-9f2a-6bb7bcf54f59;administrador;divorced;medio;1;1
175;eaf169cc-02b7-4f97-8039-5d43a74f3133;operario;divorced;primario incompleto;1;0
176;0a9cf744-426f-4413-8867-74b77eaa648f;administrador;married;graduacao;0;0
177;1f816166-50c0-43aa-9f64-6d0a76a672bd;empreendedor;divorced;graduacao;1;0
178;97cfd1e3-8b16-4cf9-b2e7-7e9ad094cb27;administrador;divorced;graduacao;1;0
179;976652e5-d7bf-4691-b22d-99c68d60d00c;empregada;divorced;medio;1;0
180;59b7bed9-925b-458e-8970-3d00c8a2f073;administrador;married;graduacao;0;0
181;63f9732c-5e75-4fbf-89b2-f391eec636f9;estudante;single;medio;1;0
182;bc722e54-49bf-4abd-a967-4962f127b42f;gestão de empresa;single;graduacao;1;0
183;8b8dd891-d405-4887-95f1-7d5de9cc1f40;operario;single;primario incompleto;1;0
184;d92c25dc-5d1d-40d4-8c55-fedb1e45b7a4;aposentado;married;graduacao;0;0
185;97c6e70a-4eb6-4530-9d3d-dbe497d65a1f;operario;married;primario incompleto;1;0
186;065e831e-3e69-440e-a2c3-2eb6f012c3c4;tecnico;single;medio;1;0
187;9a5ed809-41cd-452d-90a7-9940970ba263;tecnico;married;profissionalizante;0;0
188;135c2381-ce49-492e-b76b-0f12cc650b93;Autonomo;married;graduacao;1;0
189;b3fa48be-90b4-4517-85a5-f7978c3d6d88;aposentado;single;graduacao;0;1
190;29e8b25d-afb6-4fe4-8389-394295c1a0a8;operario;married;fundamental;1;0
191;eb6c95d4-8dab-41fc-b93f-2801c8b9cce6;servicos;married;medio;0;0
192;3b9802c3-f4ea-4b5c-9a4e-d127537d1c8c;administrador;married;medio;0;0
193;6d613ec8-a408-4221-adec-c2029598a8e2;servicos;single;medio;0;0
194;7d68a431-a470-44e1-ba4c-805d7e64626b;operario;married;primario;unknown;unknown
195;80eb886d-06aa-4d1f-8c76-d545a3ec88b0;administrador;married;medio;1;1
196;bc9916d7-4e81-4495-a7a6-5b020407e742;administrador;married;graduacao;0;1
197;0991bcca-9bf9-47c6-af88-59b7a06e02e3;administrador;married;graduacao;0;1
198;77dcf6f7-3bc4-497e-be45-c9be7602adb9;operario;divorced;fundamental;0;1
199;472eee72-481c-49ab-9d79-c5d5f4f8261a;administrador;married;profissionalizante;0;0
200;1943bf65-9d56-48b9-a9b8-1b3f33d30364;servicos;single;medio;1;0
201;cb37dfce-2573-4e97-94c3-83cef6e3d9ce;tecnico;married;profissionalizante;0;0
202;0a0b60a4-6291-4297-8be8-0d8a41a03bfa;gestão de empresa;single;graduacao;0;0
203;b64edadb-47d8-41e2-ad0a-e0f30732ca69;administrador;divorced;medio;0;0
204;c9e1e657-aa73-48ce-b3bd-194ec4944cc3;tecnico;married;profissionalizante;0;0
205;d89eda28-6a09-43b9-ae4d-0040c5a7f39c;servicos;married;medio;0;0
206;b58764fa-94a4-4f3a-af1f-1ee1bdec8fee;operario;single;primario incompleto;0;0
207;d6e347bd-f8ed-4cda-ab02-d36f1f8165b6;administrador;single;graduacao;1;0
208;e27dff3b-5f53-4ae2-9a87-9b63a4b95b57;administrador;married;medio;1;1
209;5dba72f8-ea4c-4ef6-b12a-c9d77e2380e7;operario;married;fundamental;1;1
210;58699bef-871e-472e-8051-fc6036436cd8;operario;married;primario;0;0
211;e1fa6fe1-31ac-4000-a260-f9d94bdec608;tecnico;single;graduacao;1;0
212;d079a114-54a7-4e33-b1bd-410b46c71ffb;operario;married;primario incompleto;0;1
213;8252b12a-3ca8-45d0-b86d-3ac99e6e1d91;operario;married;primario;1;0
214;e4a73af6-946c-474e-9b91-664d2707af08;estudante;single;fundamental;1;0
215;7399a1cd-ce81-4b6a-9b9f-f9c455231f21;operario;married;primario incompleto;1;1
216;c33d0b81-eaf5-49f6-9dfd-e79e4f785fd5;administrador;divorced;graduacao;1;1
217;d2f04733-9788-47b6-88e3-931b25287d9a;administrador;divorced;medio;1;0
218;a208f315-7767-4228-9b81-b678fcccc947;operario;married;primario incompleto;0;0
219;afaedc4d-2844-4185-8952-0eadc5c73e1c;desempregado;married;primario incompleto;0;0
220;717ce735-e69c-46dd-b94a-21cd1b62893b;administrador;married;medio;1;0
221;13cb4b97-3bdb-4b2b-b461-94cef71d7430;empregada;married;primario;1;0
222;bbfdfb0a-d326-4c75-88b9-c899eb66dbd1;empreendedor;married;fundamental;0;0
223;66209d99-9a43-4a10-a675-efd39494436c;administrador;single;medio;1;0
224;9e2ff43c-762d-4f5f-a744-59d729273d82;administrador;single;graduacao;1;0
225;9744f479-ba2c-422e-8af3-9468a1435f9f;operario;married;primario incompleto;1;0
226;523adc16-e860-42ba-b5a4-01b6db9ac620;administrador;married;medio;1;0
227;4728adbf-0ffd-49c3-84e1-f595b6b38556;tecnico;married;profissionalizante;1;0
228;9440bb68-aedd-41f7-b991-cec88c6d138f;operario;married;fundamental;1;0
229;29f50d38-ccb5-4c1c-812f-30c7ea95f488;aposentado;married;fundamental;unknown;unknown
230;9d0290e7-05b4-43df-8ac7-c7b6aa2695ef;desempregado;married;medio;0;0
231;4d3318ad-ffad-429b-b004-1254cab821df;estudante;single;profissionalizante;1;0
232;d8ebe865-731e-4e46-be46-ebf690080dbe;tecnico;married;desconhecido;1;0
233;fa8a17f6-40b1-4147-8be0-262e0804de2b;tecnico;married;fundamental;0;0
234;25e4bc57-a42a-4287-a028-a724fb0900fc;servicos;married;graduacao;0;1
235;af70eef2-b8c8-4726-840c-21624b33782c;operario;married;fundamental;1;0
236;66a62f74-7899-4155-80d6-ebf9f249ca2d;administrador;married;medio;1;0
237;bc92c274-b820-47c4-8329-6ea25e904718;administrador;married;medio;0;1
238;cecdd245-41a7-4c48-9ade-767c9ec0cf6c;servicos;single;medio;1;0
239;c6601613-28a6-4b85-bdff-a76daa76822d;gestão de empresa;married;graduacao;1;0
240;bda6150a-50ee-41c9-aebb-e98efd243ea3;tecnico;single;graduacao;1;0
241;5454f5ba-d8f4-43af-a80f-db8ead547d6f;operario;divorced;primario incompleto;0;0
242;204f2853-5a82-494e-b68b-971eff36bdd8;tecnico;divorced;profissionalizante;1;0
243;12af1d18-bae9-4a12-b5cc-9aa0e3443624;tecnico;single;fundamental;0;0
244;4e32842c-7746-464f-9629-f7ac1f671992;gestão de empresa;married;graduacao;1;0
245;b06931e5-aa20-4ed2-860a-521d5b3886fb;administrador;single;profissionalizante;1;0
246;1e56adf0-821b-4b9b-80df-1c62e521c6a0;operario;married;primario;1;1
247;e829fc2e-1e7d-491b-a214-ae71218c6ad6;administrador;single;graduacao;1;0
248;f5a87403-6dc1-4237-8ea5-d59806f1ad35;tecnico;single;medio;0;0
249;14e237bf-f91c-4fb6-862c-be85a6ab7466;administrador;divorced;graduacao;1;0
250;9a7fb34c-3557-46bd-9075-efdf79a12850;servicos;divorced;medio;0;0
251;42f226ea-7bc5-4c93-91bd-7e3fac82342f;tecnico;divorced;profissionalizante;1;0
252;d8f75601-bdc4-4239-80db-2b5cab2c6cff;administrador;unknown;graduacao;1;0
253;59238147-dbf4-461a-ad59-30601aea304e;operario;married;primario incompleto;0;0
254;afe93cb9-d9c4-40f0-9191-a4e977df2583;tecnico;married;desconhecido;1;0
255;707430e1-1687-4557-90af-a7fa2dfd8de1;servicos;single;medio;1;0
256;10e191ca-b090-4714-a611-3bd7d2018c1b;tecnico;single;profissionalizante;0;0
257;6e75772e-2a91-483a-951c-6396415c8af7;administrador;single;graduacao;0;0
258;21e37e42-b62a-44bd-99ff-44efd72040e9;servicos;single;medio;1;0
259;c7642d49-1efe-4c31-a22f-477e8a0f9662;operario;single;medio;1;0
260;81fd31e1-8b7a-4272-8a28-72349994cda3;empregada;married;primario incompleto;1;1
261;58cf7b03-27db-41de-8cb2-08df27949301;tecnico;divorced;medio;1;0
262;b6ad5087-e1ad-497d-bd19-5169b72792bd;operario;married;fundamental;1;1
263;5e6956c4-181d-4d2f-be50-5e1493dd71e7;tecnico;married;profissionalizante;1;0
264;0904ae49-30a6-4c1d-b5ea-49f865e0b205;tecnico;single;medio;1;0
265;4f776ef4-d168-4e3c-a287-a6bfedf0b0d4;gestão de empresa;married;graduacao;0;1
266;4df82aac-4fca-4313-800a-d0e5b7fe7a98;desempregado;married;graduacao;1;0
267;f203bcee-c36d-4c21-959f-d5a10f80acec;servicos;single;medio;0;1
268;99d6c8dc-3271-4d86-b0e7-3467ebcf96cf;administrador;married;graduacao;1;0
269;9e3658ac-9b6b-4542-ab1c-d80d4d2010ba;tecnico;married;graduacao;0;0
270;7ed1f765-4f28-4011-a0ae-716e8f2521af;operario;divorced;fundamental;1;0
271;af342a9e-befe-4f9d-8a9a-597f48977b64;administrador;married;medio;1;0
272;8cd4d917-745d-4879-8d10-a535cf6866b2;empreendedor;married;primario incompleto;1;0
273;39d023f6-196d-4190-b363-f080eeb7ae63;operario;single;fundamental;1;0
274;47c6a419-4c1d-47b1-8dbf-24ab5e9daf25;administrador;single;graduacao;0;0
275;4b75a8f3-6f69-4065-9dea-aee882f6fa68;operario;married;primario;0;0
276;03346c90-ad33-4de8-a093-1c0697747f8f;administrador;married;medio;1;0
277;2212d5d7-d579-479c-a6f6-7f2f602fb384;tecnico;single;graduacao;0;0
278;9c29c94c-9f8e-4de7-84f8-514a0ae74e9c;empregada;single;graduacao;0;0
279;79aeebc9-9ab3-440a-8b33-f7b7716f97c3;servicos;single;profissionalizante;1;0
280;ee1c5244-d9c5-4627-9895-cc8396ed04b5;Autonomo;married;primario;0;0
281;6c1eb007-b33c-46dc-ba5e-8ac1540f8443;operario;married;fundamental;0;0
282;6330a4d5-9467-4d14-9e38-cb41dbdb9e71;operario;single;fundamental;0;0
283;c50a9f3a-1399-4faa-b936-77de42c21ef5;operario;married;primario;1;0
284;bbdae0c2-527c-4ca6-b4ac-9e36c1c185ec;servicos;married;medio;1;1
285;05f13117-ccfe-4fe4-b8f6-e1a562935f82;aposentado;married;primario incompleto;0;0
286;897b93af-e739-4eca-9eb2-9c0c3da621d4;tecnico;divorced;profissionalizante;0;0
287;475a0a6e-52bf-49f7-aa43-963216a372f7;operario;married;profissionalizante;0;0
288;23103799-5065-4931-a77b-e50f6f29dc27;Autonomo;married;medio;0;0
289;2dc3bc65-e97d-42fa-87ad-c1c9fc2b6943;empreendedor;unknown;graduacao;0;0
290;a7091860-a3af-424e-b43c-2ef83b830462;Autonomo;married;primario incompleto;0;0
291;e6f2eca9-daeb-4e10-a994-ce51dd7ce4f7;administrador;single;graduacao;1;1
292;9aebd8b5-ef2c-4c56-8aee-3dc2e4d87884;desempregado;married;fundamental;0;0
293;db201693-5803-4cbb-a9c0-ad9b6e94c5f2;Autonomo;married;graduacao;0;0
294;d0c949f1-93b6-49e3-8583-b398540bfabf;tecnico;married;graduacao;1;0
295;bfebaab5-3ae9-432a-b622-74f516615be5;operario;single;medio;1;0
296;a0919e6a-9098-4216-bbea-b50722670f75;gestão de empresa;married;desconhecido;0;0
297;f798193c-d4ed-4dd0-8323-a98992b3ddda;gestão de empresa;married;graduacao;0;0
298;4b9b69f9-76a9-435f-a964-5ec8692bf77d;operario;married;primario;0;0
299;aaa64c4a-f91d-4292-a382-77ff03452f7a;gestão de empresa;married;primario incompleto;0;0
300;32750bae-631f-4894-b398-aba6fea48c50;empreendedor;married;medio;0;0
301;5ff4af32-4fd8-47d6-bd2a-4fea757bb303;aposentado;married;profissionalizante;1;0
302;f9ee0835-ff57-4058-8804-515b3639d3d4;administrador;married;graduacao;0;0
303;677b47bf-a81c-4450-9e6f-5ebac176a08f;administrador;married;graduacao;1;0
304;37c6d04d-2de3-4d8c-aa68-fa06ae0332a8;gestão de empresa;single;graduacao;0;0
305;d5ee7d65-312e-4417-9819-05b02c860422;aposentado;married;graduacao;0;0
306;be8e87e1-9828-4df6-bee3-b190449ccf53;tecnico;married;profissionalizante;1;0
307;1ebadfe8-b2fe-43b7-ae2b-29b100a92caf;servicos;married;medio;0;0
308;476b8eae-c287-479d-b602-2f1174e1887b;administrador;single;graduacao;0;0
309;84b62765-a510-4a8d-9cd3-b3a6a68bc76f;tecnico;married;profissionalizante;0;0
